,total,limit,filters.item
0,19,50,MLA914525769
1,12,50,MLA911445964
2,15,50,MLA899265496
3,29,50,MLA902919595
4,5,50,MLA914903702
5,39,50,MLA882619752
6,0,50,MLA916487744
7,4,50,MLA912665676
8,4,50,MLA913371855
9,27,50,MLA909509949
10,25,50,MLA914975837
11,4,50,MLA915663949
12,2,50,MLA912666581
13,9,50,MLA912294864
14,53,50,MLA912490348
15,0,50,MLA914116316
16,120,50,MLA900461316
17,1,50,MLA906563318
18,8,50,MLA914716026
19,0,50,MLA916021400
20,0,50,MLA915670080
21,0,50,MLA915669990
22,34,50,MLA903302442
23,20,50,MLA916060863
24,0,50,MLA913007823
25,27,50,MLA916026295
26,33,50,MLA914387030
27,37,50,MLA905691551
28,20,50,MLA874168921
29,29,50,MLA912380522
30,2,50,MLA916184144
31,14,50,MLA909275180
32,4,50,MLA915114369
33,14,50,MLA907572345
34,55,50,MLA899540265
35,4,50,MLA910313997
36,1,50,MLA915225145
37,7,50,MLA913056902
38,3,50,MLA912613876
39,48,50,MLA910697054
40,33,50,MLA900502264
41,26,50,MLA884411723
42,3,50,MLA915565548
43,7,50,MLA914292669
44,32,50,MLA900363354
45,0,50,MLA915658572
46,0,50,MLA915342298
47,2,50,MLA914394735
48,0,50,MLA915845124
49,6,50,MLA909094704
50,1,50,MLA915188129
51,3,50,MLA915502920
52,17,50,MLA909145310
53,2,50,MLA914343110
54,28,50,MLA909441891
55,4,50,MLA914687474
56,10,50,MLA909823090
57,2,50,MLA911892960
58,31,50,MLA901090468
59,2,50,MLA910494987
60,0,50,MLA914688595
61,2,50,MLA915377916
62,19,50,MLA909234778
63,5,50,MLA900058241
64,5,50,MLA911016084
65,0,50,MLA911016173
66,1,50,MLA914300299
67,86,50,MLA884838765
68,25,50,MLA909410921
69,1,50,MLA912055086
70,2,50,MLA912491765
71,14,50,MLA910245196
72,2,50,MLA909445857
73,3,50,MLA906192204
74,11,50,MLA618903354
75,0,50,MLA911128878
76,5,50,MLA906148319
77,0,50,MLA915801962
78,7,50,MLA910293238
79,0,50,MLA899324049
80,2,50,MLA912938126
81,31,50,MLA911106732
82,3,50,MLA912838192
83,27,50,MLA908120429
84,34,50,MLA914860622
85,20,50,MLA883601641
86,1,50,MLA915817257
87,0,50,MLA915359507
88,0,50,MLA915405616
89,15,50,MLA910175601
90,6,50,MLA913468444
91,19,50,MLA914342412
92,6,50,MLA909178340
93,0,50,MLA916114171
94,27,50,MLA907376354
95,0,50,MLA911290029
96,20,50,MLA904212901
97,0,50,MLA882953551
98,11,50,MLA905936813
99,17,50,MLA867201179
100,10,50,MLA912179250
101,1,50,MLA907040493
102,3,50,MLA914656082
103,10,50,MLA885599285
104,2,50,MLA914625891
105,7,50,MLA910857071
106,0,50,MLA908596676
107,25,50,MLA908857579
108,0,50,MLA915625346
109,2,50,MLA911012347
110,43,50,MLA839629772
111,2,50,MLA910405368
112,14,50,MLA911882865
113,2,50,MLA910626177
114,22,50,MLA913399316
115,7,50,MLA914604895
116,0,50,MLA914316898
117,2,50,MLA914971867
118,1,50,MLA915621287
119,1,50,MLA915933446
120,11,50,MLA912113858
121,0,50,MLA914649388
122,7,50,MLA913809593
123,0,50,MLA911014441
124,7,50,MLA912305386
125,4,50,MLA912933085
126,5,50,MLA914485514
127,2,50,MLA912133723
128,2,50,MLA913315434
129,8,50,MLA913454998
130,0,50,MLA914481678
131,0,50,MLA915061332
132,0,50,MLA914267393
133,2,50,MLA910316116
134,1,50,MLA914563553
135,0,50,MLA911747432
136,0,50,MLA915067281
137,2,50,MLA904849199
138,1,50,MLA913253071
139,0,50,MLA911452451
140,5,50,MLA913488188
141,2,50,MLA913391771
142,6,50,MLA908582868
143,6,50,MLA910133038
144,0,50,MLA913721047
145,1,50,MLA909328607
146,1,50,MLA886245567
